date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:48:27	297/297	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Nov%202023%2016:48:27%20GMT	http://localhost:8080/robots.txt		(from )
18:48:37	274627/274627	---MC-	200	added ('OK')	text/html	date:Mon,%2027%20Nov%202023%2016:48:27%20GMT	http://localhost:8080/cramy/	C:/My%20Web%20Sites/cramy/localhost_8080/cramy/index.html	(from )
18:48:37	137/137	---M--	200	added ('OK')	text/css	etag:%2289-60a59d9089569%22	http://localhost:8080/cramy/wp-content/themes/jupiterx-child/assets/css/style.css?ver=6.4.1	C:/My%20Web%20Sites/cramy/localhost_8080/cramy/wp-content/themes/jupiterx-child/assets/css/styleaec2.css	(from http://localhost:8080/cramy/)
18:48:38	73126/73126	---M--	200	added ('OK')	text/css	etag:%2211da6-60a68e6b602e6%22	http://localhost:8080/cramy/wp-content/plugins/jet-engine/assets/css/frontend.css?ver=3.2.6	C:/My%20Web%20Sites/cramy/localhost_8080/cramy/wp-content/plugins/jet-engine/assets/css/frontendc169.css	(from http://localhost:8080/cramy/)
18:48:39	17572/17572	---M--	200	added ('OK')	text/css	etag:%2244a4-60a5a2b23b1e0%22	http://localhost:8080/cramy/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=8.3.0	C:/My%20Web%20Sites/cramy/localhost_8080/cramy/wp-content/plugins/woocommerce/assets/css/woocommerce-layout9662.css	(from http://localhost:8080/cramy/)
18:48:39	7043/7043	---M--	200	added ('OK')	text/css	etag:%221b83-60a5a2b2524c2%22	http://localhost:8080/cramy/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=8.3.0	C:/My%20Web%20Sites/cramy/localhost_8080/cramy/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen9662.css	(from http://localhost:8080/cramy/)
18:48:39	74669/74669	---M--	200	added ('OK')	text/css	etag:%22123ad-60a5a2b23aa11%22	http://localhost:8080/cramy/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=8.3.0	C:/My%20Web%20Sites/cramy/localhost_8080/cramy/wp-content/plugins/woocommerce/assets/css/woocommerce9662.css	(from http://localhost:8080/cramy/)
18:48:41	71750/71750	---M--	200	added ('OK')	text/css	etag:%2211846-60a59ee432e13%22	http://localhost:8080/cramy/wp-content/plugins/jupiterx-core/includes/extensions/raven/assets/lib/animate/animate.min.css?ver=3.2.0	C:/My%20Web%20Sites/cramy/localhost_8080/cramy/wp-content/plugins/jupiterx-core/includes/extensions/raven/assets/lib/animate/animate.min55a0.css	(from http://localhost:8080/cramy/)
18:48:43	200767/200767	---M--	200	added ('OK')	text/css	etag:%223103f-60b1132557e1c%22	http://localhost:8080/cramy/wp-content/uploads/jupiterx/compiler/jupiterx/f743c01.css?ver=3.2.0	C:/My%20Web%20Sites/cramy/localhost_8080/cramy/wp-content/uploads/jupiterx/compiler/jupiterx/f743c0155a0.css	(from http://localhost:8080/cramy/)
18:48:45	51872/51872	---M--	200	added ('OK')	text/css	etag:%22caa0-60b113255c847%22	http://localhost:8080/cramy/wp-content/uploads/jupiterx/compiler/jupiterx-elements-dynamic-styles/a78699d.css?ver=3.2.0	C:/My%20Web%20Sites/cramy/localhost_8080/cramy/wp-content/uploads/jupiterx/compiler/jupiterx-elements-dynamic-styles/a78699d55a0.css	(from http://localhost:8080/cramy/)
18:48:47	234395/234395	---M--	200	added ('OK')	text/css	etag:%223939b-60a68e74a99b0%22	http://localhost:8080/cramy/wp-content/plugins/jet-elements/assets/css/jet-elements.css?ver=2.6.13.1	C:/My%20Web%20Sites/cramy/localhost_8080/cramy/wp-content/plugins/jet-elements/assets/css/jet-elements7752.css	(from http://localhost:8080/cramy/)
18:48:49	17780/17780	---M--	200	added ('OK')	text/css	etag:%224574-60a68e74aebac%22	http://localhost:8080/cramy/wp-content/plugins/jet-elements/assets/css/jet-elements-skin.css?ver=2.6.13.1	C:/My%20Web%20Sites/cramy/localhost_8080/cramy/wp-content/plugins/jet-elements/assets/css/jet-elements-skin7752.css	(from http://localhost:8080/cramy/)
